fold_id,train_start,train_end,test_start,test_end,auroc,ks,ap,default_rate,n_train,n_test
1,201701,202112,202201,202204,0.9965807469752762,0.9934245134139926,0.375,0.0039297877914592615,56360,3817
2,201705,202204,202205,202208,0.9613795055670882,0.9227590111341762,0.34516118634871695,0.0036851803106080546,56941,3799
3,201709,202208,202209,202212,1.0,1.0,1.0,0.0005288207297726071,57416,3782
5,201805,202304,202305,202308,0.9997341839447103,0.9997341839447103,0.5,0.00026574541589157585,57942,3763
6,201809,202308,202309,202312,0.9999332621462894,0.9997330485851575,0.95,0.0010666666666666667,58001,3750
7,201901,202312,202401,202404,1.0,1.0,1.0,0.0010689470871191875,57874,3742
8,201905,202404,202405,202408,1.0,1.0,1.0,0.0010706638115631692,57651,3736
9,201909,202408,202409,202412,0.9998212689901699,0.9994638069705094,0.8666666666666667,0.0008036431824270024,57436,3733
10,202001,202412,202501,202504,0.999731110513579,0.9986555525678946,0.9278846153846154,0.0029490616621983914,57225,3730
11,202005,202504,202505,202508,0.8949792099792099,0.7964241164241164,0.04256347708501004,0.0035012119579854563,57020,3713
12,202009,202508,202509,202512,1.0,1.0,1.0,0.0005414185165132648,56817,3694
