feature,importance_gain
tax_lien_amount_억,3162613.650814661
payroll_amount_pct,108443.94953964581
supplier_hhi,76449.14266621423
lawsuit_amount_억,62235.71516303718
social_insurance_dropout_flag,57997.55389663577
lawsuit_count_12m,38684.95027291402
tax_arrears_months,30844.339141044766
industry_cd,28205.151898384094
trade_balance_change_pct,20049.171175014228
news_sentiment_score,19137.833310729424
audit_opinion_qualified_flag,10466.736837983131
ceo_change_count_12m,8983.216084048152
fx_rate_usdkrw,7437.882940322161
card_sales_growth_pct,5852.323243634026
import_dependency_ratio,4241.1820663027465
director_resignation_count_12m,3826.7587466537952
industry_stress_score,3269.639024908771
debt_to_equity_ratio,2873.6301014414057
lease_change_flag,2760.73543202132
embezzlement_allegation_flag,2748.9296813607216
sales_growth_pct,2731.6280267890543
dscr_ratio,2204.9944282583892
interest_coverage_ratio,1990.7550075785912
electricity_usage_idx,1933.3944444358349
ksic_version_flag,1908.8675456047058
macro_factor,1871.9998923344538
ebitda_margin_pct,1720.3197625121102
export_concentration_idx,1614.3151953755878
inflow_amt_3m_change_pct,1476.958708241582
inflow_outflow_ratio_1m,1471.8891083747149
deposit_std_12m,1453.7520084986463
sales_receipt_concentration_top1,1440.2855096909916
sales_growth_pct_rank,1390.0042269590776
limit_utilization_ratio,1369.6478572527412
deposit_slope_6m,1339.1073669493198
ownership_concentration_pct,1337.6162688657641
ltv_slope_6m,1329.4526383168995
health_score_std_6m,1276.5244353506714
sales_growth_slope_4q,1255.193788325414
top_customer_revenue_ratio,1201.4964639507234
guarantee_remaining_months,1158.088715545833
ltv_ratio,1157.0219234470278
inflow_cv_12m,1156.582144267857
current_ratio_pct_rank,1156.2110282108188
dscr_pct_rank,1138.3503777159895
current_ratio,1094.6808560933569
export_count_idx,1079.367596713826
base_rate_pct,1057.8194810152054
cash_inflow_range_12m,967.7349732145667
incorporation_years,938.0253347866237
dte_pct_rank,877.4296994619071
icr_pct_rank,860.6269663125277
dscr_slope_4q,841.5568073391914
ebitda_margin_pct_rank,839.469297580421
adverse_court_ruling_flag,812.1601210236549
avg_deposit_balance_3m_억,683.5987824946642
business_address_change_flag,529.2422952651978
contagion_exposure_flag,410.98904514312744
extension_request_count_12m,385.6090860962868
rating_change_notches_12m,319.27766551077366
interest_only_months,201.05598664283752
covenant_breach_count_12m,143.3096101284027
refinancing_count_12m,140.95497366786003
rating_idx,130.85495106875896
outward_transfer_spike_flag,95.22545981407166
major_shareholder_change_flag,42.81760025024414
ceo_change_flag,3.95278000831604
listed_flag,0.08160140365362167
dormant_account_flag,0.0
restruct_request_flag,0.0
over_limit_flag,0.0
firm_size_cd,0.0
