feature,importance_gain
tax_lien_amount_억,5702915.106344432
payroll_amount_pct,146374.32714781445
supplier_hhi,80488.36354437936
social_insurance_dropout_flag,77064.15515398979
tax_arrears_months,61664.329322844744
lawsuit_amount_억,61320.71925268881
lawsuit_count_12m,61227.79182551056
industry_cd,37313.97456121445
audit_opinion_qualified_flag,20052.29557927698
trade_balance_change_pct,17441.872466322035
news_sentiment_score,16996.759578485973
fx_rate_usdkrw,12782.63586987379
ceo_change_count_12m,10173.661608539522
director_resignation_count_12m,8322.425558149815
embezzlement_allegation_flag,7556.281564474106
card_sales_growth_pct,5990.876893915905
dscr_ratio,3795.047112926841
ksic_version_flag,2944.415254831314
base_rate_pct,2808.4085452109575
export_count_idx,2654.8687207829207
import_dependency_ratio,2512.8009556531906
limit_utilization_ratio,2398.3006973713636
industry_stress_score,2378.3487209044397
electricity_usage_idx,2312.270464337431
sales_growth_pct,2219.634415031178
interest_coverage_ratio,2103.822818586603
ebitda_margin_pct,2044.4496216531843
incorporation_years,2035.9587354436517
inflow_outflow_ratio_1m,1945.5216441424564
macro_factor,1814.6944742798805
deposit_slope_6m,1700.1572829857469
top_customer_revenue_ratio,1608.9832131713629
ltv_slope_6m,1549.7614306509495
ltv_ratio,1513.0973151400685
cash_inflow_range_12m,1432.0709407031536
current_ratio,1370.3152122423053
dte_pct_rank,1351.4198442557827
ownership_concentration_pct,1274.166519805789
sales_receipt_concentration_top1,1260.5226892456412
dscr_slope_4q,1258.7611116087064
health_score_std_6m,1223.0055221021175
contagion_exposure_flag,1222.265193939209
sales_growth_pct_rank,1212.9507219043444
inflow_amt_3m_change_pct,1209.4922023913823
deposit_std_12m,1175.5244901105762
ebitda_margin_pct_rank,1169.6661401893944
export_concentration_idx,1143.7349154874682
debt_to_equity_ratio,1112.5301737822592
sales_growth_slope_4q,1095.9406743980944
avg_deposit_balance_3m_억,1077.145888209343
inflow_cv_12m,1055.8086903467774
dscr_pct_rank,1044.8678521811962
guarantee_remaining_months,991.4457730352879
current_ratio_pct_rank,891.8120913207531
lease_change_flag,866.0989911109209
business_address_change_flag,717.9332038164139
icr_pct_rank,678.1459147147834
interest_only_months,331.7732455134392
extension_request_count_12m,294.75155997276306
dormant_account_flag,272.21470069885254
rating_change_notches_12m,211.55070984363556
covenant_breach_count_12m,190.85717046260834
outward_transfer_spike_flag,187.3438081741333
rating_idx,113.93414372205734
refinancing_count_12m,110.10388644039631
adverse_court_ruling_flag,100.8871021270752
listed_flag,70.02419996261597
ceo_change_flag,52.91869926452637
restruct_request_flag,0.0
major_shareholder_change_flag,0.0
over_limit_flag,0.0
firm_size_cd,0.0
