fold_id,train_start,train_end,test_start,test_end,auroc,ks,ap,default_rate,n_train,n_test
1,201701,202112,202201,202204,0.9992130382866998,0.9807107095224462,0.9879079835853914,0.058570295683697746,96386,8827
2,201705,202204,202205,202208,0.9997211132168785,0.9898813677599442,0.9959222551279527,0.061456172906887895,100993,9161
3,201709,202208,202209,202212,0.9996796027547069,0.9864775022414014,0.9955632183446714,0.0611637059887246,105409,9401
4,201801,202212,202301,202304,0.9996307748200274,0.9907407407407407,0.9942433112441538,0.0592926854864099,109823,9529
5,201805,202304,202305,202308,0.9996480911722405,0.9865608330754246,0.9947730744819252,0.0595959595959596,114056,9900
6,201809,202308,202309,202312,0.9997407161597125,0.9876971296588771,0.9959393127283452,0.05609481965873097,118350,9787
7,201901,202312,202401,202404,0.9996252200882032,0.9881474352974681,0.9938448855962142,0.05626545754328112,122326,9704
8,201905,202404,202405,202408,0.999776395936682,0.9930124223602484,0.9963525225747564,0.058676132804343285,125787,9578
9,201909,202408,202409,202412,0.9998228827052847,0.989862258953168,0.9971597011779363,0.056652806652806656,128826,9620
10,202001,202412,202501,202504,0.9998764196017386,0.9945750452079566,0.9978497380353235,0.05379103839161587,131841,9351
11,202005,202504,202505,202508,0.9999669221657594,0.998298355076574,0.9993885948691926,0.052354332401634056,134150,9302
12,202009,202508,202509,202512,1.0,1.0,1.0,0.0259333780460541,136198,8946
