fold_id,train_start,train_end,test_start,test_end,auroc,ks,ap,default_rate,n_train,n_test
1,201701,202112,202201,202204,0.9997472417637335,0.991778149386845,0.9963439568884341,0.06605062796902453,183069,15367
2,201705,202204,202205,202208,0.999767109452155,0.9909722233337654,0.9968476364753713,0.06764381607108114,188940,15419
3,201709,202208,202209,202212,0.9997177376478459,0.9886918566935888,0.9962484764669183,0.06721373089451266,194437,15964
4,201801,202212,202301,202304,0.99978230437082,0.9888769547318891,0.9971090155616936,0.06811575887779603,200129,15826
5,201805,202304,202305,202308,0.9998262054860118,0.990422020083037,0.9975353342689733,0.06514084507042253,205278,15904
6,201809,202308,202309,202312,0.9998357317524014,0.993242814786466,0.9975292293606514,0.06226427155916384,210119,15643
7,201901,202312,202401,202404,0.999758872083349,0.9908427591565004,0.9960473343556194,0.05710448906509784,214180,15638
8,201905,202404,202405,202408,0.9998805918327681,0.9940308747855917,0.9981038002793359,0.05870576078532679,218068,15484
9,201909,202408,202409,202412,0.9998709457610845,0.9968304278922345,0.9978928078241768,0.05967344823117792,221159,15434
10,202001,202412,202501,202504,0.9999439925997107,0.9969520839240148,0.9990605789370529,0.057014905420760646,223842,14961
11,202005,202504,202505,202508,0.9999990267242068,0.9999301187980433,0.9999805069255674,0.0477774820335374,225841,15028
12,202009,202508,202509,202512,1.0,1.0,1.0,0.020569509550129435,227493,14293
